media_type,post_url,likes,caption
image,https://www.instagram.com/p/DPZKsS6EW9j/?img_index=1,479,"prep, set, go 🩶  peptide eye prep cares for your under-eyes with clinically-proven skincare benefits. designed to give instant cooling, depuffing, and tightening effects with just one application, our hydrogel eye patches provide even more results the more frequently you use them. wear them in your weekly routine to help reduce the appearance of fine lines and dark circles for visibly plumper, brighter under-eyes.  peptide eye prep is clinically proven to: ✨ improve under-eye puffiness immediately ✨ brighten and hydrate the under-eyes  get it first on october 9th at 9am PT. join the waitlist on rhodeskin.com 💫"
video,https://www.instagram.com/p/DPWyvrrk4sh/,4167,first impressions of peptide eye prep with @thedewiest 🩶  why she loves it: ✨ instant cooling and tightening effect ✨ caffeine and peptide help depuff and brighten ✨ bean shape targets dark circles and fine lines ✨ hydrates to prep for better makeup application  arriving on october 9th at 9am PT. join the waitlist on rhodeskin.com 💫
image,https://www.instagram.com/p/DPWl8n5EWCP/?img_index=1,27112,"off-duty with eye prep + @alexconsani 🌟☁️  peptide eye prep is your new morning essential to wake up sleepy eyes in minutes. made with caffeine and peptide, our cooling hydrogel patches are clinically proven to immediately improve under-eye puffiness, while brightening and hydrating under the eyes.  alex wears eye prep in our signature rhode logo design. coming to rhodeskin.com on october 9th at 9am PT ✨"
image,https://www.instagram.com/p/DPUDqPlEdF5/?img_index=1,23937,"meet peptide eye prep 🤍 ready-to-wear skincare for your everyday routine. our new cooling hydrogel eye patches depuff and brighten whenever your under-eyes need a little wake-up.  why we love it:  💫 clinical eye care: our eye patches are loaded with caffeine and peptide to help you look rested in minutes. they’re clinically proven to brighten and hydrate, while improving under-eye puffiness immediately.  💫 cooling + cute: stick them on anytime for an instant cooling effect—no refrigeration required. the bean shape is sized for maximum benefits, targeting dark circles near the inner corners and fine lines around the outer corners.  💫 comes in handy: use them as one of your morning or evening skincare steps, apply them before makeup for hydrating under-eye skin prep, and wear them out and about whenever you need to depuff.  peptide eye prep is arriving in two styles: our signature rhode logo and the r icon (exclusive to rhodeskin.com). get them first on october 9th at 9am PT. coming in-store + online to @sephora @sephoracanada on october 14th ✨"
video,https://www.instagram.com/p/DPUA_mkEaos/,27210,"get ready with peptide eye prep 🩶 our new eye patches are on the way. packed with depuffing caffeine and a brightening peptide, these cooling hydrogel patches give your under-eyes a little wake-up whenever you need it.  arriving on october 9th at 9am PT on rhodeskin.com. coming in-store + online to @sephora @sephoracanada on october 14th ✨"
image,https://www.instagram.com/p/DPRcWnTEe60/,25526,eye spy something new 🤍
video,https://www.instagram.com/p/DPO4RDkkYlK/,50520,get ready with HB for a fall night out 🤍 behind the scenes of her look ft. glam by @leahdarcymakeup  rhode product breakdown: 🌟 under-eyes prepped with… 👀 🥛 skin prepped with glazing milk + brc 🧸 pocket blush in toasted teddy 🪄 peptide lip shape in stretch 🍞 peptide lip tint in toast
image,https://www.instagram.com/p/DPMSu50EaYE/,44295,"twist to-go 🧸🪄 lily wears our new autumn edit ft. pocket blush in tan line, peptide lip shape in twist, and peptide lip tint in salty tan."
video,https://www.instagram.com/p/DPJt88dkWPv/?img_index=1,15832,"glaze 3 ways 🌟  the signature rhode glaze starts with a healthy skin barrier. we develop each of our skincare essentials to give your barrier the hydration and nourishment it needs, so skin looks dewy and glowing.  swipe to learn about a few of our glazed favorites and how they fit into your routine ✨"
image,https://www.instagram.com/p/DPHJF3Ykdrl/,65367,warm + toasty 🧸
video,https://www.instagram.com/p/DPEk-MhESWM/?img_index=1,20247,"cozy combos + you 🪄🧸☕️  find your go-to fall look with our new season edits, featuring curated trios of pocket blush, peptide lip shape, and peptide lip tint. our hybrid formulas feature skincare ingredients like peptide, tamanu oil, and shea butter for added hydration and nourishment.  grab yours on rhodeskin.com ✨"
image,https://www.instagram.com/p/DPB_jlgEQGk/?img_index=1,23671,"effortless fall edits 🎀  ease into autumn with our three new edits. each curated combo pairs shades of pocket blush, peptide lip shape, and peptide lip tint for a natural, diffused flush and softly contoured, glossy lips. creamy textures, buildable colors, and hydrating formulas make for essential trios you’ll always come back to in your everyday rotation.  🪄 tan line, twist, salty tan 🧸 toasted teddy, lean, pbj ☕️ sun soak, flex, espresso  grab your go-to fall layers. only at rhodeskin.com ✨"
image,https://www.instagram.com/p/DO_c6TmEQ5T/?img_index=1,8178,"The Support for Moms Fund x The Bridge Project 🤍  At rhode futures foundation, we’re committed to dismantling the barriers that hold women back. Our Support for Moms Fund is a $1 million grant that invests in 10 organizations across the U.S. Each organization delivers guaranteed income and resources to new mothers, mother-like figures, and caregivers—as well as newborns in the critical early stages of life.  The first weeks and months of a child’s life play a vital role in shaping their emotional and mental well-being. When families receive meaningful support during this formative time, it can help reduce the harmful impacts of poverty, disrupt generational cycles of hardship, and foster conditions that enable children to thrive physically, mentally, and financially into adulthood.  We’re excited to share more about our fund recipient, The Bridge Project, a New York-based organization that makes a meaningful difference for moms and their babies during pivotal stages of development."
image,https://www.instagram.com/p/DO818m-ka-Q/?img_index=1,30471,"essence of rhode 🥛 get to know why glazing milk is the essential prep step in our skincare and makeup routines.  🤍 soothing texture: it’s a lightweight, milky essence that absorbs quickly to prep for better skincare and makeup application while helping to calm irritated skin.  🌟 tried-and-true formula: made with a ceramide trio and mineral complex, it’s clinically proven to immediately improve skin hydration and help reduce the appearance of redness over time.  🫶 developed with intention: glazing milk is fragrance-free, non-comedogenic, and dermatologist-tested, plus, it has the seal of acceptance from the national eczema association, meaning it’s passed strict criteria and testing to ensure it’s safe for sensitive skin.  grab a bottle on rhodeskin.com ✨"
image,https://www.instagram.com/p/DO6RK4MkZMO/?img_index=1,55618,toasts + touch-ups 🍸🍞 @_yanyanchan’s go-to shades for a fall night out:  🧸 pocket blush in toasted teddy 🪄 peptide lip shape in twist ☕️ peptide lip tint in toast + espresso
image,https://www.instagram.com/p/DO3sZPqkeaZ/?img_index=1,18742,"fall skin check-in 🌟  as the seasons shift, dropping temperatures and drier air can leave skin feeling dry and especially sensitive. refresh your routine with nourishing formulas that can calm post-summer skin while strengthening your barrier for cooler months ahead."
image,https://www.instagram.com/p/DO1IJTUkVQU/,25251,fall mornings with rhode ☕️
image,https://www.instagram.com/p/DOyiy7QD07Y/?img_index=1,34313,"flush, shape, tint 🍂 @cameliafarhoodi’s go-to rhode combo for a fall night out.  🧸 flush cheeks with pocket blush in toasted teddy for a bronze terracotta finish  🪄 shape lips with peptide lip shape in lean for a natural dimension and soft contour  ☕️ tint lips with peptide lip tint in espresso for a sheer wash of rich brown gloss"
image,https://www.instagram.com/p/DOv-TW9EWpD/?img_index=1,57134,very berry 🍷🍇🍓
image,https://www.instagram.com/p/DOtcl-liRqn/?img_index=1,28734,"even more minis 🤍 little sizes of peptide glazing fluid and barrier restore cream have arrived to complete your mini rhode routine. same nourishing formulas, just a little smaller.  🍯 peptide glazing fluid: a lightweight, quick-absorbing gel serum that hydrates and brightens while visibly plumping skin over time  ☁️ barrier restore cream: a rich yet lightweight cream moisturizer to comfort and soothe the skin barrier  get them solo or bundled together in our new travel set with mini pineapple refresh, glazing milk, and barrier butter. now on rhodeskin.com ✨"
image,https://www.instagram.com/p/DOq0YmEkeDL/?img_index=1,24479,"best of butter 🧈  we’re honored that barrier butter has just received a 2025 @allure best of beauty award for best rich facial moisturizer. since its launch last fall, our intensive moisture balm has quickly become your go-to for decadent hydration and all-over glow. here’s what makes it a winner:  ✨ deeply hydrates while supporting plump skin over time ✨ gives an immediate and long-lasting glow ✨ rich, buttery texture that won’t clog your pores ✨ 13 hero ingredients like murumuru butter and PGA ✨ multipurpose formula for your face and body  stock up on rhodeskin.com 🫶"
image,https://www.instagram.com/p/DOoPmLgEfXP/?img_index=1,30204,"barrier butter feels like… 🧈🫖🍰💭  your go-to layer for deep, bouncy hydration and long-lasting glow. our intensive moisture balm wraps your skin with buttery-smooth moisture. loaded with murumuru butter, skin-plumping pga, and a hyaluronic acid complex, it’s clinically proven to improve skin hydration and reduce the appearance of fine lines over time.  add it to your fall routine on rhodeskin.com ✨"
image,https://www.instagram.com/p/DOlqwH7CVLW/,75020,cozied up with rhode 🧸
image,https://www.instagram.com/p/DOjF_gxkSI8/?img_index=1,28464,meet the rhode routine 🤍  the four foundational skincare steps you’ll look forward to morning and night. friendly for all skin types and formulated with efficacious ingredients for the signature rhode glaze and a nourished skin barrier.
image,https://www.instagram.com/p/DOghNpJEUYK/?img_index=1,63398,fall pick-me-up ☕️🎀🍞
image,https://www.instagram.com/p/DOd9EY5kRl3/?img_index=1,27722,"get ready with @maddiedemaine + rhode 🧸 her everyday fall makeup look.  🥛 prep skin with glazing milk for a hydrated, seamless base ☕️ add a few touches of color with pocket blush, peptide lip shape + peptide lip tint 🌟 finish off with a spritz of glazing mist for a lasting glow"
image,https://www.instagram.com/p/DObXoqAEUYf/?img_index=1,49339,"makeup that multitasks 🎀  at rhode, we create hybrid makeup with skincare benefits, so every time you add a touch of color, you’re also nourishing your skin. swipe to learn about how each of our essentials multitasks in your routine."
image,https://www.instagram.com/p/DOY1GH_EStK/?img_index=1,130015,rhode night out in toronto 🍷🍓 the sweetest night celebrating our sephora canada launch. we can’t wait for you to experience rhode online and in all @sephoracanada stores ✨
video,https://www.instagram.com/p/DOWPT6FkUiO/,11098,a little sephora love 🤍 we’re so grateful for your support on our sephora launch. come find us at a store near you ✨
image,https://www.instagram.com/p/DOTpfdXETPG/?img_index=1,156636,get ready with HB 🍸 behind the scenes of @haileybieber’s sephora launch glam by @maryphillips.  rhode product breakdown: ✨ skin prepped with glazing mist + glazing milk ✨ pocket blush in sprinkle ✨ peptide lip shape in twist
video,https://www.instagram.com/p/DORRdH3EXxG/,19035,rhode takes NYSE 🔔🎀
image,https://www.instagram.com/p/DOOtzdAkRgF/?img_index=1,129480,rhode night out with @sephora 🍸🪩 a little celebration in nyc to ring in our sephora launch. we can’t wait for you to experience the world of rhode at a store near you ✨
video,https://www.instagram.com/p/DOMwRHRDAem/,46278,rhode <3 sephora  a day with HB in nyc celebrating rhode’s launch @sephora 🎀
